Accession ID	Virus name	Host	Virus lineage
JF705860	Duck coronavirus	Anas platyrhynchos	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Gammacoronavirus; Igacovirus; Avian coronavirus
JF792616	Rat coronavirus	Rattus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus
JN183882	Feline coronavirus UU47	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
JN183883	Feline coronavirus UU54	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
JQ173883	Murine hepatitis virus strain S/3239-17	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
JQ410000	Alpaca respiratory coronavirus	Vicugna pacos	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Duvinacovirus; Human coronavirus 229E
JQ989272	Hipposideros bat coronavirus HKU10	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Decacovirus; Bat coronavirus HKU10
JX169867	Murine coronavirus	Myomorpha	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus
JX860640	Canine respiratory coronavirus	Canis lupus familiaris	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1
JX869059	Human betacoronavirus 2c EMC/2012	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Middle East respiratory syndrome-related coronavirus
JX993987	Bat coronavirus Rp/Shaanxi2011	Rhinolophus pusillus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
JX993988	Bat coronavirus Cp/Yunnan2011	Chaerephon	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
KC667074	Human betacoronavirus 2c England-Qatar/2012	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Middle East respiratory syndrome-related coronavirus
KC776174	Human betacoronavirus 2c Jordan-N3/2012	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Middle East respiratory syndrome-related coronavirus
KC881005	Bat SARS-like coronavirus RsSHC014	Rhinolophus sinicus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
KC881006	Bat SARS-like coronavirus Rs3367	Rhinolophus sinicus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
KF367457	Bat SARS-like coronavirus WIV1	Rhinolophus sinicus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
KF569996	Rhinolophus affinis coronavirus	Rhinolophus affinis	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
KF793824	Bottlenose dolphin coronavirus HKU22	Tursiops aduncus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Gammacoronavirus; Cegacovirus; Beluga whale coronavirus SW1
KF906249	Dromedary camel coronavirus HKU23	Camelus dromedarius	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Coronavirus HKU23
KJ473821	BtVs-BetaCoV/SC2013	Vespertilio sinensis	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Middle East respiratory syndrome-related coronavirus
KJ481931	Deltacoronavirus PDCoV/USA/Illinois121/2014	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Coronavirus HKU15; Porcine coronavirus HKU15
KJ567050	Porcine deltacoronavirus 8734/USA-IA/2014	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Coronavirus HKU15; Porcine coronavirus HKU15
KJ601777	Deltacoronavirus PDCoV/USA/Illinois133/2014	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Coronavirus HKU15; Porcine coronavirus HKU15
KJ601778	Deltacoronavirus PDCoV/USA/Illinois134/2014	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Coronavirus HKU15; Porcine coronavirus HKU15
KJ601779	Deltacoronavirus PDCoV/USA/Illinois136/2014	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Coronavirus HKU15; Porcine coronavirus HKU15
KJ601780	Deltacoronavirus PDCoV/USA/Ohio137/2014	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Coronavirus HKU15; Porcine coronavirus HKU15
KJ769231	Swine deltacoronavirus OhioCVM1/2014	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Coronavirus HKU15; Porcine coronavirus HKU15
KM820765	Porcine deltacoronavirus KNU14-04	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Coronavirus HKU15; Porcine coronavirus HKU15
KP981395	Porcine deltacoronavirus	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Coronavirus HKU15; Porcine coronavirus HKU15
LM645057	Porcine epidemic diarrhea virus L00721/GER/2014	Mammalia	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Pedacovirus; Porcine epidemic diarrhea virus
LN610099	Guinea fowl coronavirus GfCoV/FR/2011	Numididae	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Gammacoronavirus; Igacovirus; Avian coronavirus; unclassified Avian coronavirus
NC_001451	Infectious bronchitis virus	Gallus gallus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Gammacoronavirus; Igacovirus; Avian coronavirus
NC_001846	Murine hepatitis virus	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus
NC_002306	Feline infectious peritonitis virus	Felidae	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
NC_002645	Human coronavirus 229E	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Duvinacovirus
NC_003045	Bovine coronavirus	Bos taurus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1
NC_003436	Porcine epidemic diarrhea virus	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Pedacovirus
NC_004718	Severe acute respiratory syndrome-related coronavirus	Mammalia	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus
NC_005831	Human coronavirus NL63	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Setracovirus
NC_006213	Human coronavirus OC43	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1
NC_006577	Human coronavirus HKU1	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus
NC_009019	Tylonycteris bat coronavirus HKU4	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus
NC_009020	Pipistrellus bat coronavirus HKU5	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus
NC_009021	Rousettus bat coronavirus HKU9	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Nobecovirus
NC_009657	Scotophilus bat coronavirus 512	Scotophilus kuhlii	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Pedacovirus
NC_009988	Rhinolophus bat coronavirus HKU2	Rhinolophus sinicus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Rhinacovirus
NC_010437	Bat coronavirus 1A	Miniopterus magnater	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; unclassified Alphacoronavirus
NC_010438	Miniopterus bat coronavirus HKU8	Miniopterus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Minunacovirus
NC_010646	Beluga whale coronavirus SW1	Delphinapterus leucas	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Gammacoronavirus; Cegacovirus
NC_010800	Turkey coronavirus	Meleagris gallopavo	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Gammacoronavirus; Igacovirus; Avian coronavirus
NC_011547	Bulbul coronavirus HKU11-934	Pycnonotus jocosus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Bulbul coronavirus HKU11
NC_011549	Thrush coronavirus HKU12-600	Turdus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Thrush coronavirus HKU12
NC_011550	Munia coronavirus HKU13-3514	Lonchura striata	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Munia coronavirus HKU13
NC_012936	Rat coronavirus Parker	Rattus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Rat coronavirus
NC_014470	Bat coronavirus BM48-31/BGR/2008	Rhinolophus blasii	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Coronavirinae; unclassified Coronavirinae
NC_016991	White-eye coronavirus HKU16	Zosteropidae	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus
NC_016992	Sparrow coronavirus HKU17	Passeridae	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; unclassified Deltacoronavirus
NC_016993	Magpie-robin coronavirus HKU18	Muscicapidae	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; unclassified Deltacoronavirus
NC_016994	Night heron coronavirus HKU19	Ardeidae	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Herdecovirus
NC_016995	Wigeon coronavirus HKU20	Mareca	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Andecovirus
NC_016996	Common moorhen coronavirus HKU21	Gallinula chloropus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Moordecovirus
NC_017083	Rabbit coronavirus HKU14	Oryctolagus cuniculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; unclassified Betacoronavirus
NC_018871	Rousettus bat coronavirus HKU10	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Decacovirus; Bat coronavirus HKU10
NC_019843	Middle East respiratory syndrome-related coronavirus	Mammalia	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus
NC_022103	Bat coronavirus CDPHE15/USA/2006	Myotis lucifugus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Colacovirus; Bat coronavirus CDPHE15
NC_023760	Mink coronavirus strain WD1127	Neovison vison	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Minacovirus; Mink coronavirus 1
NC_025217	Bat Hp-betacoronavirus/Zhejiang2013	Hipposideros pratti	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Hibecovirus; Bat Hp-betacoronavirus Zhejiang2013
NC_026011	Betacoronavirus HKU24	Rattus norvegicus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; China Rattus coronavirus HKU24
NC_028752	Camel alphacoronavirus	Camelus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Duvinacovirus; Human coronavirus 229E
NC_028806	Swine enteric coronavirus	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1
NC_028811	BtMr-AlphaCoV/SAX2011	Myotis ricketti	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Myotacovirus; Myotis ricketti alphacoronavirus Sax-2011
NC_028814	BtRf-AlphaCoV/HuB2013	Rhinolophus ferrumequinum	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Decacovirus; Rhinolophus ferrumequinum alphacoronavirus HuB-2013
NC_028824	BtRf-AlphaCoV/YN2012	Rhinolophus ferrumequinum	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; unclassified Alphacoronavirus
NC_028833	BtNv-AlphaCoV/SC2013	Nyctalus velutinus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Nyctacovirus; Nyctalus velutinus alphacoronavirus SC-2013
NC_030292	Ferret coronavirus	Mustela putorius	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Minacovirus
NC_030886	Rousettus bat coronavirus	Rousettus leschenaultii	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Nobecovirus; Rousettus bat coronavirus GCCDC1
NC_032107	NL63-related bat coronavirus	Triaenops afer	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Setracovirus; NL63-related bat coronavirus strain BtKYNL63-9b
NC_032730	Lucheng Rn rat coronavirus	Rattus norvegicus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Luchacovirus
NC_034440	Bat coronavirus	Pipistrellus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Coronavirinae; unclassified Coronavirinae
NC_034972	Coronavirus AcCoV-JC34	Apodemus chevrieri	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; unclassified Alphacoronavirus
NC_035191	Wencheng Sm shrew coronavirus	Suncus murinus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; unclassified Alphacoronavirus
NC_038294	Betacoronavirus England 1	Mammalia	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Middle East respiratory syndrome-related coronavirus
NC_038861	Transmissible gastroenteritis virus	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1
NC_039207	Betacoronavirus Erinaceus/VMC/DEU/2012	Erinaceus europaeus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Hedgehog coronavirus 1
NC_039208  	Porcine coronavirus HKU15	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Coronavirus HKU15
EPI_ISL_402131   RaTG13 Yunnan2013   Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus
